a,phi
1.889882e-03,-3.569477e+02
1.929093e-03,-3.569396e+02
1.969118e-03,-3.569310e+02
2.009974e-03,-3.569222e+02
2.051677e-03,-3.569129e+02
2.094246e-03,-3.569033e+02
2.137698e-03,-3.568932e+02
2.182051e-03,-3.568828e+02
2.227325e-03,-3.568719e+02
2.273538e-03,-3.568605e+02
2.320709e-03,-3.568487e+02
2.368860e-03,-3.568364e+02
2.418010e-03,-3.568235e+02
2.468179e-03,-3.568102e+02
2.519389e-03,-3.567962e+02
2.571662e-03,-3.567817e+02
2.625019e-03,-3.567666e+02
2.679484e-03,-3.567508e+02
2.735078e-03,-3.567344e+02
2.791826e-03,-3.567173e+02
2.849751e-03,-3.566995e+02
2.908878e-03,-3.566809e+02
2.969232e-03,-3.566616e+02
3.030839e-03,-3.566414e+02
3.093723e-03,-3.566204e+02
3.157912e-03,-3.565986e+02
3.223433e-03,-3.565758e+02
3.290313e-03,-3.565520e+02
3.358581e-03,-3.565273e+02
3.428266e-03,-3.565015e+02
3.499396e-03,-3.564747e+02
3.572002e-03,-3.564467e+02
3.646115e-03,-3.564176e+02
3.721765e-03,-3.563873e+02
3.798985e-03,-3.563557e+02
3.877807e-03,-3.563227e+02
3.958265e-03,-3.562884e+02
4.040392e-03,-3.562527e+02
4.124222e-03,-3.562155e+02
4.209792e-03,-3.561767e+02
4.297138e-03,-3.561363e+02
4.386296e-03,-3.560942e+02
4.477304e-03,-3.560504e+02
4.570200e-03,-3.560047e+02
4.665023e-03,-3.559571e+02
4.761814e-03,-3.559075e+02
4.860613e-03,-3.558559e+02
4.961462e-03,-3.558021e+02
5.064403e-03,-3.557461e+02
5.169480e-03,-3.556877e+02
5.276737e-03,-3.556269e+02
5.386220e-03,-3.555635e+02
5.497975e-03,-3.554975e+02
5.612048e-03,-3.554288e+02
5.728487e-03,-3.553572e+02
5.847343e-03,-3.552827e+02
5.968665e-03,-3.552050e+02
6.092504e-03,-3.551241e+02
6.218912e-03,-3.550399e+02
6.347944e-03,-3.549521e+02
6.479652e-03,-3.548607e+02
6.614093e-03,-3.547656e+02
6.751323e-03,-3.546664e+02
6.891401e-03,-3.545632e+02
7.034385e-03,-3.544557e+02
7.180336e-03,-3.543437e+02
7.329315e-03,-3.542271e+02
7.481385e-03,-3.541057e+02
7.636610e-03,-3.539792e+02
7.795056e-03,-3.538476e+02
7.956790e-03,-3.537105e+02
8.121879e-03,-3.535677e+02
8.290393e-03,-3.534191e+02
8.462404e-03,-3.532643e+02
8.637983e-03,-3.531032e+02
8.817206e-03,-3.529354e+02
9.000147e-03,-3.527608e+02
9.186884e-03,-3.525789e+02
9.377495e-03,-3.523896e+02
9.572062e-03,-3.521914e+02
9.770665e-03,-3.519847e+02
9.973388e-03,-3.517695e+02
1.018032e-02,-3.515454e+02
1.039154e-02,-3.513120e+02
1.060715e-02,-3.510691e+02
1.082723e-02,-3.508162e+02
1.105187e-02,-3.505528e+02
1.128118e-02,-3.502786e+02
1.151524e-02,-3.499932e+02
1.175416e-02,-3.496961e+02
1.199804e-02,-3.493869e+02
1.224698e-02,-3.490650e+02
1.250108e-02,-3.487293e+02
1.276046e-02,-3.483760e+02
1.302521e-02,-3.480081e+02
1.329546e-02,-3.476249e+02
1.357132e-02,-3.472258e+02
1.385290e-02,-3.468103e+02
1.414033e-02,-3.463776e+02
1.443371e-02,-3.459270e+02
1.473319e-02,-3.454579e+02
1.503888e-02,-3.449647e+02
1.535091e-02,-3.444453e+02
1.566941e-02,-3.439023e+02
1.599452e-02,-3.433372e+02
1.632638e-02,-3.427481e+02
1.666513e-02,-3.421340e+02
1.701090e-02,-3.414908e+02
1.736384e-02,-3.408053e+02
1.772411e-02,-3.400902e+02
1.809186e-02,-3.393442e+02
1.846723e-02,-3.385662e+02
1.885040e-02,-3.377457e+02
1.924151e-02,-3.368711e+02
1.964074e-02,-3.359577e+02
2.004825e-02,-3.350040e+02
2.046422e-02,-3.339920e+02
2.088882e-02,-3.329129e+02
2.132223e-02,-3.317849e+02
2.176463e-02,-3.305956e+02
2.221621e-02,-3.293129e+02
2.267716e-02,-3.279708e+02
2.314767e-02,-3.265362e+02
2.362795e-02,-3.250034e+02
2.411819e-02,-3.233852e+02
2.461861e-02,-3.216294e+02
2.512940e-02,-3.197753e+02
2.565080e-02,-3.177600e+02
2.618302e-02,-3.156073e+02
2.672627e-02,-3.132914e+02
2.728080e-02,-3.107676e+02
2.784684e-02,-3.080479e+02
2.842462e-02,-3.051011e+02
2.901439e-02,-3.018939e+02
2.961640e-02,-2.983920e+02
3.023090e-02,-2.945614e+02
3.085815e-02,-2.903696e+02
3.149842e-02,-2.857855e+02
3.215197e-02,-2.807848e+02
3.281908e-02,-2.752857e+02
3.350004e-02,-2.693069e+02
3.419512e-02,-2.628071e+02
3.490463e-02,-2.557691e+02
3.562887e-02,-2.482149e+02
3.636813e-02,-2.401723e+02
3.712273e-02,-2.317084e+02
3.789299e-02,-2.228976e+02
3.867924e-02,-2.138227e+02
3.948180e-02,-2.045937e+02
4.030102e-02,-1.953062e+02
4.113723e-02,-1.860520e+02
4.199080e-02,-1.769185e+02
4.286209e-02,-1.679662e+02
4.375146e-02,-1.592564e+02
4.465928e-02,-1.508247e+02
4.558595e-02,-1.427019e+02
4.653185e-02,-1.349066e+02
4.749738e-02,-1.274490e+02
4.848295e-02,-1.203328e+02
4.948897e-02,-1.135573e+02
5.051588e-02,-1.071177e+02
5.156410e-02,-1.010068e+02
5.263408e-02,-9.521438e+01
5.372627e-02,-8.973002e+01
5.484114e-02,-8.454186e+01
5.597914e-02,-7.963757e+01
5.714077e-02,-7.500429e+01
5.832652e-02,-7.062970e+01
5.953688e-02,-6.650119e+01
6.077238e-02,-6.260642e+01
6.203352e-02,-5.893343e+01
6.332086e-02,-5.547062e+01
6.463492e-02,-5.220682e+01
6.597627e-02,-4.913130e+01
6.734548e-02,-4.623380e+01
6.874312e-02,-4.350450e+01
7.016979e-02,-4.093401e+01
7.162609e-02,-3.851340e+01
