R,qr,qt,w
5.969552e+01,2.730355e+00,9.414006e-01,5.081803e+02
1.088538e+02,4.263496e+00,5.576181e-01,9.355667e+03
4.263201e+01,2.508578e-01,2.660663e+00,2.071364e+02
4.175161e+01,5.282375e-02,1.924981e+00,2.277220e+02
5.380529e+01,1.722006e+00,2.506029e+00,3.514061e+02
1.364245e+02,2.029286e+00,1.555092e+00,9.900875e+03
3.576953e+01,1.107577e+00,1.056871e+00,1.805580e+02
3.306115e+01,1.885659e+00,4.022511e+00,1.422392e+02
4.499597e+01,-4.918217e+00,1.649482e+00,2.585962e+02
7.106833e+01,-2.572760e+00,2.864713e+00,3.048961e+03
3.575567e+01,-2.982421e-01,1.135103e+00,2.611634e+02
6.133964e+01,2.662129e+00,1.753075e+00,6.089270e+02
5.162728e+01,6.356893e-01,1.278038e+00,4.456665e+02
3.018278e+01,2.891450e+00,2.749983e+00,1.224300e+02
4.656353e+01,7.002172e-01,5.188843e+00,2.648792e+02
5.199874e+01,-1.879007e+00,3.100935e+00,3.458902e+02
1.342807e+01,-8.449594e-01,4.204833e+00,9.712466e+01
3.700815e+01,-1.994913e+00,2.528790e+00,1.711513e+02
1.136100e+01,-4.289353e-01,1.817834e+00,1.046244e+02
2.730345e+01,1.788260e+00,5.114623e+00,1.327044e+02
1.452103e+01,4.801021e-01,1.086179e+00,1.399282e+02
1.025906e+02,2.158843e-01,6.368068e+00,9.892290e+03
5.723167e+01,8.281942e-01,2.497992e+00,4.882158e+02
3.446490e+01,1.023816e+00,3.534824e+00,1.452596e+02
3.856771e+01,-7.834468e-01,1.002029e+00,2.857505e+02
4.119844e+01,-1.831242e+00,3.615131e+00,2.012989e+02
3.565058e+01,1.781583e+00,8.911867e-01,1.479507e+02
8.112096e+01,1.599014e-01,9.166433e-01,9.820439e+03
5.646943e+01,6.074766e-01,7.387997e+00,5.618350e+02
4.421137e+01,-1.360987e+00,1.376474e+00,2.754668e+02
3.352857e+01,-1.155612e+00,3.116459e+00,1.485274e+02
3.658621e+01,-1.523917e-02,5.134913e+00,1.749263e+02
3.170037e+01,3.599868e+00,1.055029e+00,1.209244e+02
5.564882e+01,-1.636991e-01,1.356676e+00,6.738587e+02
5.301003e+01,-5.484516e-01,3.157154e+00,3.636022e+02
1.630522e+01,-4.229384e-01,3.430153e-01,3.109636e+02
7.631902e+01,-2.072961e+00,1.799694e+00,1.021354e+04
1.846693e+01,6.089796e-01,5.363602e+00,1.123150e+02
1.936993e+01,2.941917e+00,1.638043e+00,9.382170e+01
3.302909e+01,-1.019760e+01,6.533580e+00,2.754244e+02
8.181500e+01,-2.426504e+00,2.286875e+00,1.007910e+04
5.132022e+01,2.598392e+00,1.702433e+00,2.796016e+02
5.322156e+01,-2.559532e+00,2.109139e+00,3.800998e+02
4.677539e+01,1.495495e+00,1.096631e+00,2.545561e+02
9.143306e+01,-1.343732e+00,3.299889e+00,9.976093e+03
4.589068e+01,-1.468525e+00,2.332912e+00,2.552722e+02
2.895878e+01,-2.165164e+00,2.095206e+00,1.333702e+02
6.937477e+01,-6.483423e-01,2.140782e+00,2.769608e+03
3.841395e+01,1.458259e+00,2.862597e+00,1.618520e+02
3.066034e+01,3.770681e+00,3.214463e+00,1.329825e+02
1.120424e+02,9.202730e-02,4.061347e-01,9.841048e+03
7.019077e+01,-2.678546e+00,2.377019e+00,2.522363e+03
5.784985e+01,-4.164124e+00,3.785351e+00,5.612480e+02
1.395858e+02,-1.498617e+00,2.497344e+00,9.776986e+03
6.556819e+01,1.025969e+00,4.159472e+00,1.070023e+03
8.534823e+01,3.809515e-02,3.236750e+00,9.977040e+03
3.598223e+01,1.593429e+00,2.305662e+00,1.461620e+02
1.348643e+02,1.896275e+00,3.650681e+00,9.887795e+03
4.972446e+01,5.209777e-01,7.610364e-01,5.551446e+02
3.320745e+01,-3.418072e+00,2.629091e+00,1.549167e+02
4.053807e+01,3.103616e+00,4.112689e-01,1.564138e+02
6.138868e+01,-5.272037e+00,5.318390e+00,8.443248e+02
2.847901e+01,-2.059428e+00,1.906302e+00,1.330137e+02
4.796656e+01,3.195385e+00,1.047126e+00,2.233766e+02
1.393159e+02,3.662671e+00,5.121181e+00,9.889070e+03
5.206813e+01,2.053498e+00,1.537863e+00,3.046959e+02
3.181127e+01,1.681944e+00,5.763422e-01,1.372791e+02
5.526918e+01,1.966640e+00,8.489258e-01,3.916718e+02
1.233217e+02,1.411554e+00,2.205116e+00,9.904549e+03
6.119448e+01,-2.401700e+00,2.250478e+00,7.076359e+02
9.146245e+01,-1.101490e+00,1.460154e+00,1.001281e+04
5.517934e+01,-2.569590e+00,2.535066e+00,4.292657e+02
1.339794e+02,2.184650e-01,3.289486e+00,9.837427e+03
1.544385e+01,1.930980e+00,2.735792e+00,9.151428e+01
1.347222e+02,7.639366e-01,6.782161e-01,9.903068e+03
3.792871e+01,2.833421e+00,8.400174e-01,1.431069e+02
3.092008e+01,-9.976933e-01,2.875686e+00,1.370842e+02
5.923596e+01,-1.029755e+00,1.338622e+00,8.081955e+02
4.563520e+01,-1.094655e+00,4.209794e-01,4.383153e+02
1.371699e+02,-5.513581e-02,2.391643e+00,9.826018e+03
2.937347e+01,3.017626e-01,2.189949e+00,1.341111e+02
3.582641e+01,-1.250696e-01,1.798744e+00,1.877580e+02
3.672044e+01,2.001000e+00,1.131733e+00,1.462769e+02
2.053930e+01,3.068532e+00,3.130290e-01,9.340760e+01
2.127188e+01,1.908339e+00,2.476244e+00,9.892865e+01
2.995246e+01,2.849612e+00,4.540211e-01,1.119787e+02
7.984432e+01,3.634341e-01,6.066478e-01,9.519698e+03
4.493088e+01,-5.949714e-01,1.259216e+00,3.494038e+02
3.277522e+01,-1.734945e+00,7.750198e-01,1.782979e+02
3.425835e+01,3.701874e-01,2.290577e+00,1.531826e+02
3.899714e+01,-9.220119e-01,1.092119e+00,2.663405e+02
4.432314e+01,2.281728e+00,2.331868e+00,1.988586e+02
4.134800e+01,9.816268e-01,2.995526e+00,1.862332e+02
3.749677e+01,-1.194300e-01,3.540674e+00,1.664187e+02
6.140857e+01,2.011842e-01,5.769561e+00,7.418861e+02
3.931435e+01,-3.189575e-01,1.345373e+00,2.640790e+02
4.274084e+01,-4.918952e+00,2.988672e+00,2.429568e+02
6.486577e+01,1.142361e+00,4.022745e+00,9.768119e+02
2.855843e+01,1.332946e+00,2.838509e+00,1.185113e+02
1.320383e+02,4.912073e-01,2.480686e+00,9.856585e+03
1.062395e+02,-3.569161e-01,2.307689e+00,9.901831e+03
3.407916e+01,-3.012334e+00,7.676896e+00,2.121706e+02
2.657470e+01,3.357730e+00,3.796164e+00,1.228046e+02
4.546340e+01,-1.717908e+00,1.578429e+00,2.677356e+02
2.935383e+01,1.151342e+00,3.166935e+00,1.226145e+02
4.543659e+01,-2.408914e-01,1.659730e+00,3.028281e+02
4.805124e+01,8.479004e-01,3.312607e+00,2.591132e+02
4.596947e+01,-3.308829e-01,4.469321e+00,2.482936e+02
2.921912e+01,-2.672683e+00,2.246886e+00,1.340402e+02
4.877982e+01,1.033143e+00,3.308966e+00,2.679467e+02
3.044174e+01,-4.504227e-01,2.319830e+00,1.404139e+02
9.114471e+01,-4.511235e-01,5.724211e+00,9.935273e+03
2.036148e+01,1.663490e+00,3.087188e+00,9.951634e+01
1.232630e+02,-2.670683e+00,1.261656e+00,9.756477e+03
2.671163e+01,2.237232e+00,3.494559e+00,1.160083e+02
4.483467e+01,1.497607e+00,4.286407e+00,2.275569e+02
8.388154e+01,-3.517706e+00,4.485457e+00,9.962435e+03
8.660878e+00,-1.521240e-01,2.449399e+00,9.087324e+01
3.820451e+01,-7.066400e-01,8.728346e-01,3.122185e+02
1.679531e+01,-1.230567e+00,3.012562e+00,9.904522e+01
1.144461e+02,-1.362703e+00,7.141733e-01,9.773703e+03
2.860077e+01,-1.878940e+00,2.914813e+00,1.298977e+02
6.311517e+01,2.901163e+00,2.067215e+00,7.314088e+02
6.129230e+01,-2.925616e+00,8.827545e-01,7.338396e+02
6.007002e+01,1.249783e+00,2.213717e+00,6.159476e+02
2.523736e+01,-5.108634e-01,3.424019e+00,1.158089e+02
1.132743e+02,-2.148075e+00,2.862971e+00,9.803386e+03
1.050377e+02,8.692508e-01,2.309109e+00,9.883973e+03
4.293983e+01,6.657524e-01,1.563489e+00,2.439489e+02
2.735932e+01,-5.294651e-01,5.487033e-01,2.996308e+02
1.816735e+01,1.840657e+00,2.254969e+00,9.406502e+01
1.087750e+02,-2.061773e+00,4.126398e+00,9.850466e+03
5.025943e+01,-4.836865e-01,5.563176e+00,3.350733e+02
6.142466e+01,-2.191408e+00,2.860631e+00,7.107103e+02
5.046803e+01,2.006925e-01,1.347103e+00,4.520660e+02
3.617466e+01,-3.990051e-01,4.634296e+00,1.673462e+02
1.808436e+01,1.205220e+00,3.028111e+00,9.617594e+01
2.949714e+01,-1.111472e+00,3.292740e+00,1.311549e+02
2.218309e+01,3.510373e-01,4.623843e+00,1.129786e+02
3.682667e+01,-1.864357e+00,6.084964e-01,2.031095e+02
5.561574e+01,9.972113e-01,3.709302e+00,4.157548e+02
1.520659e+01,-8.444106e-01,3.921320e+00,9.797843e+01
4.138988e+01,-2.864240e+00,5.005107e-01,2.110988e+02
3.618797e+01,-6.915606e-01,2.708964e+00,1.638930e+02
3.791418e+01,4.397204e-01,3.608095e+00,1.667720e+02
1.939100e+01,9.606435e-01,1.948893e+00,1.038390e+02
5.431135e+01,1.767269e-01,3.751002e+00,3.870941e+02
4.196137e+01,2.032026e+00,3.132033e+00,1.863050e+02
2.654909e+01,1.095031e+00,1.245267e+01,2.330594e+02
5.590393e+01,1.732380e+00,3.073648e+00,4.104616e+02
4.620106e+01,2.793984e+00,2.934591e+00,2.239160e+02
5.494462e+01,1.093929e+00,3.813769e+00,3.968593e+02
5.381133e+01,-1.349117e+00,1.470527e+00,4.706022e+02
5.752166e+01,-1.323320e-01,1.563702e+00,7.012497e+02
4.180500e+01,-1.755805e+00,3.809408e+00,2.071996e+02
5.660927e+01,1.818865e+00,1.314482e+00,4.419250e+02
8.649704e+01,8.028616e-01,1.549358e+00,9.700163e+03
4.911072e+01,-2.216020e-01,1.516569e+00,3.957128e+02
2.047959e+01,1.514934e+00,2.235798e+00,9.886981e+01
5.115946e+01,-7.521292e-01,3.577817e+00,3.228562e+02
1.231070e+02,-1.199199e+00,4.630586e+00,9.838377e+03
4.868343e+01,9.276824e-01,2.989670e+00,2.672416e+02
3.232971e+01,1.708358e+00,6.593631e+00,1.730285e+02
2.304525e+01,6.720669e-01,1.044330e+00,1.527483e+02
3.421413e+01,-7.681584e-01,2.217318e+00,1.612570e+02
2.802825e+01,5.683381e+00,9.141523e+00,2.104754e+02
5.376445e+01,-6.580437e-01,1.563691e+00,5.098546e+02
5.887051e+01,2.160426e-01,3.925973e+00,5.455998e+02
4.289047e+01,6.658899e-01,3.208795e+00,2.020239e+02
5.908337e+01,3.562840e+00,1.075770e+00,4.729683e+02
2.828700e+01,1.130948e+00,1.805441e+00,1.247185e+02
3.638493e+01,2.143389e+00,4.522778e+00,1.655627e+02
3.327733e+01,2.139064e+00,1.761414e+00,1.287720e+02
5.520068e+01,8.312968e-02,3.493800e+00,4.125834e+02
3.656455e+01,5.596618e-01,1.585356e+00,1.894315e+02
2.979141e+01,4.743624e-01,1.187785e+00,1.816455e+02
2.008406e+01,1.756964e-01,4.068027e+00,1.048722e+02
3.830031e+01,1.380463e+00,2.624559e+00,1.611936e+02
5.436394e+01,-2.039533e+00,2.556239e+00,4.077581e+02
4.884155e+01,-2.202352e-01,1.529215e+00,3.870766e+02
3.926757e+01,2.267180e+00,5.648130e+00,2.031129e+02
3.837180e+01,-6.752902e-01,3.187245e+00,1.745602e+02
7.387021e+01,-2.719181e+00,3.751817e+00,8.357750e+03
6.739186e+01,-5.198910e-01,1.580743e+00,2.292487e+03
2.211793e+01,-5.058005e+00,2.677792e+00,1.287692e+02
1.354153e+02,-1.741759e+00,8.455837e+00,9.828660e+03
5.289967e+01,1.337845e+00,6.073397e+00,4.029232e+02
6.147865e+01,-1.224961e+00,3.207509e+00,7.121090e+02
3.227334e+01,-1.530063e+00,2.405180e+00,1.465117e+02
5.622572e+01,7.597214e-01,1.570999e+00,5.403854e+02
2.237690e+01,-1.629545e+00,2.828346e+00,1.110108e+02
5.071412e+01,3.167998e+00,2.650928e+00,2.819063e+02
1.036837e+02,-3.488045e-01,5.769076e+00,9.894861e+03
7.042123e+01,3.930646e-01,3.690173e+00,2.554094e+03
4.805723e+01,1.662251e+00,3.292959e+00,2.529875e+02
1.965444e+01,2.221150e+00,1.703889e+00,9.470300e+01
5.003575e+01,1.015328e+00,2.495559e+00,2.916892e+02
3.499193e+01,5.146327e-01,2.929453e+00,1.489471e+02
5.424055e+01,3.391350e+00,3.500920e-01,3.204992e+02
3.571775e+01,-1.442115e+00,1.953078e+00,1.722052e+02
2.913738e+01,2.920139e+00,3.114579e+00,1.220159e+02
9.815225e+01,5.997853e-01,7.475448e+00,9.892016e+03
3.253072e+01,1.790234e+00,8.757917e-01,1.339595e+02
1.231571e+02,1.782890e+00,4.433612e+00,9.882405e+03
4.702396e+01,-3.094241e+00,1.709332e+00,2.670944e+02
2.719670e+01,8.256934e-01,2.172926e+00,1.207696e+02
2.625448e+01,2.397100e+00,4.587433e+00,1.253385e+02
3.740657e+01,-5.731699e-01,3.715903e+00,1.683593e+02
4.438188e+01,1.560328e-01,1.331379e+00,3.256573e+02
4.829510e+01,-5.814680e-01,2.322077e+00,2.955929e+02
3.756413e+01,3.575339e+00,5.409298e+00,1.944532e+02
4.986579e+01,9.078534e-02,1.208947e+00,4.837934e+02
3.801259e+01,-2.329360e+00,1.286864e+00,1.864416e+02
1.192207e+02,1.155419e+00,1.773576e+00,9.893256e+03
1.211655e+02,1.163420e+00,3.130117e+00,9.889050e+03
5.891098e+01,-5.244575e-01,5.325586e+00,5.870843e+02
6.609381e+01,-2.235345e+00,2.085886e+00,1.275223e+03
5.525940e+01,4.850889e-01,1.007826e+00,7.113620e+02
1.173574e+02,-7.700067e-01,1.118620e+00,9.795497e+03
1.228054e+02,-6.627663e-01,5.119015e+00,9.846548e+03
3.128345e+01,-7.185901e+00,2.715998e+00,1.896711e+02
1.129434e+02,-6.527353e-01,3.814848e-01,9.794012e+03
3.926235e+01,1.207303e+00,2.452123e+00,1.696020e+02
4.445903e+01,1.012650e+00,3.538278e+00,2.162336e+02
2.216850e+01,-6.635201e-01,8.157229e-01,1.964076e+02
7.238121e+01,9.582146e-01,5.252914e+00,3.958733e+03
4.598482e+01,-4.522791e+00,4.300403e+00,2.900831e+02
8.483052e+01,-3.389058e-01,5.132843e+00,9.964359e+03
2.280542e+01,-3.055435e+00,3.386558e+00,1.185167e+02
2.887041e+01,-1.046162e+00,2.208640e+00,1.357074e+02
1.385792e+02,4.584223e-01,8.662304e-01,9.880352e+03
4.410374e+01,-3.449473e+00,3.089494e+00,2.377881e+02
2.913577e+01,1.564638e+00,2.598692e+00,1.188989e+02
3.979231e+01,1.767373e+00,1.778681e+00,1.671983e+02
8.722955e+01,-6.248247e-02,2.464783e+00,9.984484e+03
5.032202e+01,3.491668e+00,1.490088e+00,2.605021e+02
3.895284e+01,1.823961e-01,2.200640e+00,1.879119e+02
1.148074e+02,4.848347e+00,4.869282e+00,9.846535e+03
5.355418e+01,-4.041492e-01,2.925835e+00,3.804937e+02
4.325426e+01,2.124602e-01,2.442695e+00,2.183064e+02
1.101783e+02,4.095396e+00,4.404623e-01,9.368741e+03
2.676381e+01,-2.638407e-01,1.159510e+00,1.916763e+02
1.057648e+02,-5.035986e-01,1.873550e+00,9.895956e+03
1.380360e+02,-3.479176e+00,8.589219e-02,9.800945e+03
5.151552e+01,1.728580e+00,1.128232e+00,3.151841e+02
1.201736e+02,-3.494907e+00,1.772697e+00,9.772044e+03
4.645926e+01,1.894451e+00,3.232644e+00,2.312215e+02
7.237677e+01,4.003225e+00,3.444812e+00,3.739815e+03
6.068223e+01,3.339440e-01,2.769001e+00,6.672532e+02
6.058043e+01,-1.850421e+00,5.772981e+00,7.112318e+02
2.398430e+01,3.312023e-01,1.485849e+00,1.409569e+02
3.954378e+01,-1.108151e+00,2.207153e+00,1.960332e+02
1.238206e+02,3.131959e+00,1.860816e+00,9.790897e+03
5.508136e+01,3.214540e+00,2.702000e+00,3.738405e+02
1.185429e+02,-8.395700e-01,7.457343e+00,9.850851e+03
1.363855e+01,-4.177935e-01,4.421159e+00,9.793956e+01
